,model,Rating,Rating std,Rating alpha
Nexusflow/Starling-LM-7B-beta,Nexusflow/Starling-LM-7B-beta,1480.3572920572428,4.89113818541262,"[np.float64(-10.81218792960226), np.float64(7.525839639263268)]"
cohere/command-r,cohere/command-r,1479.9252297236903,4.718815965422528,"[np.float64(-10.835782698585035), np.float64(7.321326409646417)]"
meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,1475.478186462899,4.8663078796420285,"[np.float64(-10.621499527110927), np.float64(8.018269345892804)]"
databricks/dbrx-instruct@together,databricks/dbrx-instruct@together,1474.8613862728928,5.020961643010085,"[np.float64(-11.042734175390024), np.float64(8.195819131083454)]"
openai/gpt-3.5-turbo-0125,openai/gpt-3.5-turbo-0125,1466.3840111885224,5.18856172080758,"[np.float64(-11.352634145680213), np.float64(8.576694814213852)]"
NousResearch/Hermes-2-Theta-Llama-3-8B,NousResearch/Hermes-2-Theta-Llama-3-8B,1465.1632342419462,4.958839993188357,"[np.float64(-10.683414223123464), np.float64(8.412366547514921)]"
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,1457.9597280760077,5.129604413480994,"[np.float64(-11.302718753251384), np.float64(9.183898355088104)]"
allenai/tulu-2-dpo-70b,allenai/tulu-2-dpo-70b,1453.559596674668,4.970961765495117,"[np.float64(-11.202257944873963), np.float64(7.859395913500975)]"
mistralai/Mistral-7B-Instruct-v0.2,mistralai/Mistral-7B-Instruct-v0.2,1453.2765381854456,5.019888092288981,"[np.float64(-11.41651531783259), np.float64(8.027900787862336)]"
Qwen/Qwen1.5-7B-Chat@together,Qwen/Qwen1.5-7B-Chat@together,1445.6749093283509,5.056587903772635,"[np.float64(-10.89441828053009), np.float64(8.708564020271979)]"
reka/reka-edge,reka/reka-edge,1444.8384856206542,5.039245059019077,"[np.float64(-11.049103704272511), np.float64(8.35156585429695)]"
m-a-p/neo_7b_instruct_v0.1,m-a-p/neo_7b_instruct_v0.1,1436.9002757832477,5.0203280344222065,"[np.float64(-11.482700245778688), np.float64(8.344851054290302)]"
microsoft/Phi-3-medium-128k-instruct,microsoft/Phi-3-medium-128k-instruct,1436.852942878807,5.1571030448576405,"[np.float64(-11.489734963732417), np.float64(8.13038810557623)]"
meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-70b-chat-hf,1430.2171129022881,3.510656976807257,"[np.float64(-7.6029506190720895), np.float64(5.427618480948013)]"
microsoft/Phi-3-mini-128k-instruct,microsoft/Phi-3-mini-128k-instruct,1427.1500361658639,5.368643212322316,"[np.float64(-11.486063887382215), np.float64(9.566752235973809)]"
01-ai/Yi-1.5-6B-Chat,01-ai/Yi-1.5-6B-Chat,1424.9267733667284,5.236511827644796,"[np.float64(-11.667525326942268), np.float64(8.913069553414061)]"
Magpie-Align/Llama-3-8B-Magpie-Pro-SFT-v0.1,Magpie-Align/Llama-3-8B-Magpie-Pro-SFT-v0.1,1412.3133559902913,7.536508069302527,"[np.float64(-15.805794569665977), np.float64(12.433150795916163)]"
google/gemma-7b-it,google/gemma-7b-it,1369.6687078012028,5.614163503718943,"[np.float64(-11.74912157587596), np.float64(9.596564698272005)]"
meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf,1367.403284379639,5.207098291641338,"[np.float64(-10.84077802975753), np.float64(8.625766230730505)]"
google/gemma-2b-it,google/gemma-2b-it,1292.8253343953236,6.438953230088211,"[np.float64(-13.667954457092492), np.float64(11.594502806642367)]"
