model_a,mean,std,lower,upper
dolphin-2.2.1-mistral-7b,-5.424317261884396,10.676262103383106,-17.200354661215357,16.59786257534359
wizardlm-13b,-11.840839673268565,5.383271532647276,-8.745545358038825,8.852829810193683
zephyr-7b-beta,-2.385059053790232,4.3991212944954,-7.107947054578534,7.581329001531871
phi-3-mini-128k-instruct,-15.041428130799218,3.4198346047652253,-5.447200548378159,5.679913558114524
vicuna-13b,-18.557040226984572,3.717074003659922,-6.245952817464561,6.185899374666274
mpt-30b-chat,-5.205169193945103,8.698730076781294,-15.059612540977142,14.028535611228136
codellama-34b-instruct,-12.54541212482794,5.218761723115515,-8.543706160043675,8.492916046690507
zephyr-7b-alpha,-6.299604669357937,9.975861721336635,-16.361967386905384,16.12892565876138
codellama-70b-instruct,-3.3404426741946995,13.263256486268002,-21.980861610673742,22.81669722632492
pplx-7b-online,-6.194482932288146,6.041166457815509,-9.625700492162316,10.195765795112298
gemma-7b-it,-7.91285966969409,4.89322971266071,-8.028630733988399,8.281622058314728
llama-2-7b-chat,0.5336282878878899,3.9992261592956524,-6.453476585760679,6.324755219531808
qwen-14b-chat,-21.410760375430474,6.383103894819864,-10.558838952393526,10.343163520413938
falcon-180b-chat,-11.648456616665626,12.642711584160175,-21.238507067162015,20.623397951606854
guanaco-33b,-7.0258717692642305,8.04163956639357,-13.745510892131026,13.010106796904527
gemma-1.1-2b-it,-14.652704976620019,4.880545637858369,-8.031968909251624,8.041811360568392
stripedhyena-nous-7b,-8.24349026757969,6.047482911317182,-9.907041796603817,9.875046393592479
olmo-7b-instruct,0.3109708797567762,5.955741915231274,-9.661524637922312,9.932298341792468
mistral-7b-instruct,-3.7725132270841604,5.011974434309948,-8.413178626407575,8.104473115810581
palm-2,-1.0977318784830175,5.306840663629898,-8.15337521372403,8.700835230373514
vicuna-7b,-20.15560340353052,5.714803046147226,-9.206936363317825,9.381348629126332
qwen1.5-4b-chat,-30.190381530036134,5.538129131957643,-8.997884020439258,9.162754992412715
gemma-2b-it,-11.475466651056164,6.835218562595853,-11.20789788538687,10.676142978430745
koala-13b,-6.14698521505711,5.8828445809171654,-9.453732393653874,9.869325047526434
chatglm3-6b,-10.530413031316963,7.023458712387946,-11.246591210937945,11.622539953862914
gpt4all-13b-snoozy,-3.958230157132021,10.841829949546378,-17.016487712752827,18.213234893742225
chatglm2-6b,-7.279342218630064,9.203159474648533,-15.008071699357078,14.934267651184491
mpt-7b-chat,-15.200743717809601,7.231741691119362,-11.920899284903989,11.439772327813792
RWKV-4-Raven-14B,-19.458572125703412,6.958847560976826,-11.506425867460383,11.392289504710046
alpaca-13b,-13.058939920199007,6.163376463044528,-10.072878709015779,10.31940500247604
oasst-pythia-12b,-9.40615151260178,6.589220843657875,-10.90712523970419,11.507581525816553
chatglm-6b,-25.010542428434906,6.987078535429183,-11.605601075372263,10.780181615418062
fastchat-t5-3b,-1.4314460441682606,7.301826636402354,-12.036788862964935,11.694855469051278
stablelm-tuned-alpha-7b,-13.22416671700799,8.328191458792483,-14.138102467269368,13.259305562401387
dolly-v2-12b,-20.217967652617798,8.494181914787605,-13.519124976570406,14.014944066974682
llama-13b,-23.197496841586002,10.300881831908976,-16.654524952770302,16.5602889309283
